hashtag,timestamp,text,lang
ЧМ2018,2018-05-27 09:37:24,"И на наркотики с алкоголем за одно пусть проверят !!!😀😁😄
#чм2018 #Футбол #сегодня https://t.co/zMxPGAAlkt",ru
ЧМ2018,2018-05-27 09:36:44,"Говорят, из-за #ЧМ2018 этим летом в Москве не будут отключать горячую воду 😱",ru
ЧМ2018,2018-05-27 09:31:35,RT @ivan15851695: Подготовились к ЧМ2018. https://t.co/QrQJ3clCeG,ru
ЧМ2018,2018-05-27 09:21:06,RT @sovsport: По сообщениям СМИ: Салах пропускает #ЧМ2018 #ЖЕСТЬ https://t.co/K6Sjx6o8wy,ru
ЧМ2018,2018-05-27 09:20:59,RT @ANo1505: Тренировка сборной #ЧМ2018 https://t.co/g7rFdvoyuD,ru
ЧМ2018,2018-05-27 09:19:48,"RT @fifaworldcup_ru: 📸🙌 Фото на фоне болельщиков на открытой тренировке

Перу🇵🇪 готовится к историческому для себя #ЧМ2018 https://t.co/KX7…",ru
ЧМ2018,2018-05-27 09:17:48,"📸🙌 Фото на фоне болельщиков на открытой тренировке

Перу🇵🇪 готовится к историческому для себя #ЧМ2018 https://t.co/KX7ucZ3g2J",ru
ЧМ2018,2018-05-27 09:16:18,"@kazy_zhay @Vitauskas_A Это я сказал про ЧМ2018, все ты прекрасно понял, валежик.",ru
ЧМ2018,2018-05-27 09:15:53,"RT @fifaworldcup_ru: 👋✈🇨🇴

Радамель Фалькао и его сборная Колумбии отправляются на подготовку к #ЧМ2018 https://t.co/tvMG2YhMF5",ru
ЧМ2018,2018-05-27 09:08:58,"RT @InformNapalm: #Путин и Шойгу, #БУКваш. Бойкот #ЧМ2018
https://t.co/EZnqSDimNa https://t.co/Zo88TPHh8A",ru
ЧМ2018,2018-05-27 09:07:54,"Перед ЧМ-2002 Александр Мостовой, лидер сборной, получил ровно такую же травму как вчера Карвахаль, так же выбивал… https://t.co/UK5Wo6SHAm",ru
ЧМ2018,2018-05-27 09:01:35,Хорошо рисуют наши дизайнеры) #чм2018 https://t.co/sI44KxKZLQ,ru
ЧМ2018,2018-05-27 08:45:00,"👋✈🇨🇴

Радамель Фалькао и его сборная Колумбии отправляются на подготовку к #ЧМ2018 https://t.co/tvMG2YhMF5",ru
ЧМ2018,2018-05-27 08:42:25,RT @sovsport: По сообщениям СМИ: Салах пропускает #ЧМ2018 #ЖЕСТЬ https://t.co/K6Sjx6o8wy,ru
ЧМ2018,2018-05-27 08:41:47,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
ЧМ2018,2018-05-27 08:31:18,"RT @fifaworldcup_ru: Космическая «Самара Арена».🚀🏟️ Говорят, после #ЧМ2018🇷🇺 тут будут снимать следующие «Звездные войны».

Что надо знать…",ru
ЧМ2018,2018-05-27 08:28:37,"RT @Fake_MIDRF: Россия встречает гостей Чемпионата мира по футболу: 

#FIFAWorldCup2018 #FIFA2018 #ЧМ2018 #MH17 https://t.co/e45uzYH54v",ru
ЧМ2018,2018-05-27 08:25:40,"RT @sportexpress: Салах может пропустить #ЧМ2018. Подробности 👇
https://t.co/1739XVGC7n https://t.co/Vlqw6RAhIi",ru
ЧМ2018,2018-05-27 08:14:59,"Салах избежал серьезной травмы и сможет сыграть на #ЧМ2018

#рбинсайды
https://t.co/rBUJoeL0W5 https://t.co/f6uFFnH5oS",ru
ЧМ2018,2018-05-27 08:12:24,"RT @razum_milonova: Наш дом - тюрьма, а имя ей - Россия! В тюрьме проходит праздник у надзорщиков, поэтому зекам лучше не высовываться, а т…",ru
ЧМ2018,2018-05-27 08:05:06,"RT @fifaworldcup_ru: Предскажи итоги #ЧМ2018: сыграй в #WorldCupBracket challenge by @DalianWanda, а затем сравни свои прогнозы с друзьями!…",ru
ЧМ2018,2018-05-27 08:01:14,"RT @championat: Карвахаль, скорее всего, мимо #ЧМ2018. Замена ему уже найдена! И это не  Серхи Роберто, как многие ожидали
https://t.co/Bdi…",ru
ЧМ2018,2018-05-27 08:00:35,"RT @razum_milonova: Наш дом - тюрьма, а имя ей - Россия! В тюрьме проходит праздник у надзорщиков, поэтому зекам лучше не высовываться, а т…",ru
ЧМ2018,2018-05-27 07:58:52,RT @fifaworldcup_ru: Это. Был. Сумасшедший. Финал. Мадридские клубы решили никому в Европе не отдавать драгоценной посуды🏆🏆🇪🇸🎆 Теперь все в…,ru
ЧМ2018,2018-05-27 07:52:25,"Карвахаль, скорее всего, мимо #ЧМ2018. Замена ему уже найдена! И это не  Серхи Роберто, как многие ожидали… https://t.co/VEsrx02SjT",ru
ЧМ2018,2018-05-27 07:51:50,"RT @Fake_MIDRF: Россия встречает гостей Чемпионата мира по футболу: 

#FIFAWorldCup2018 #FIFA2018 #ЧМ2018 #MH17 https://t.co/e45uzYH54v",ru
ЧМ2018,2018-05-27 07:51:11,"RT @9ygh81: Други и недруги,а вы не замечаете,как пошла в мир,очередная многоходовачка,кодовое название!бородино2.англо _росейское побоище.…",ru
ЧМ2018,2018-05-27 07:50:47,"Мама в 2к14 
- Артём твою квартиру никогда не будем сдавать даже если ты там жить не будешь, жалко ремонт 

Мама в… https://t.co/RrbcVj3lLw",ru
ЧМ2018,2018-05-27 07:43:00,"Внимание, конкурс для владельцев билетов на матчи #ЧМ2018🇷🇺!

Примите участие в кампании по борьбе с изменениями кл… https://t.co/iEyYbGWAHm",ru
ЧМ2018,2018-05-27 07:40:30,"Ну что, у сборной России таки появился шанс на выход из группы или пока под вопросом?!
#Салах #РеалЛиверпуль #ЧМ2018",ru
ЧМ2018,2018-05-27 07:38:54,"RT @Fake_MIDRF: Россия встречает гостей Чемпионата мира по футболу: 

#FIFAWorldCup2018 #FIFA2018 #ЧМ2018 #MH17 https://t.co/e45uzYH54v",ru
ЧМ2018,2018-05-27 07:32:37,"RT @razum_milonova: Наш дом - тюрьма, а имя ей - Россия! В тюрьме проходит праздник у надзорщиков, поэтому зекам лучше не высовываться, а т…",ru
ЧМ2018,2018-05-27 07:31:46,"RT @fifaworldcup_ru: Предскажи итоги #ЧМ2018: сыграй в #WorldCupBracket challenge by @DalianWanda, а затем сравни свои прогнозы с друзьями!…",ru
ЧМ2018,2018-05-27 07:30:00,"Предскажи итоги #ЧМ2018: сыграй в #WorldCupBracket challenge by @DalianWanda, а затем сравни свои прогнозы с друзья… https://t.co/RmCphf2RzW",ru
ЧМ2018,2018-05-27 07:21:57,RT @fifaworldcup_ru: Это. Был. Сумасшедший. Финал. Мадридские клубы решили никому в Европе не отдавать драгоценной посуды🏆🏆🇪🇸🎆 Теперь все в…,ru
ЧМ2018,2018-05-27 07:13:27,"RT @sportexpress: Травма Салаха. Как это было 📷

Судьбоносный момент финала, влияющий также на судьбу сборной России на #ЧМ2018 https://t.c…",ru
ЧМ2018,2018-05-27 07:11:53,RT @sovsport: По сообщениям СМИ: Салах пропускает #ЧМ2018 #ЖЕСТЬ https://t.co/K6Sjx6o8wy,ru
ЧМ2018,2018-05-27 07:11:42,RT @moscow: Подземные красоты для туристов: в московском метро организуют 72 экскурсии на русском и английском языках: https://t.co/0jvI4A0…,ru
ЧМ2018,2018-05-27 07:00:21,"Салах может пропустить #ЧМ2018. Подробности 👇
https://t.co/1739XVGC7n https://t.co/Vlqw6RAhIi",ru
ЧМ2018,2018-05-27 06:58:59,@anatoliisharii Будут ли такие же интервью на чм2018?,ru
ЧМ2018,2018-05-27 06:51:21,"Травма Салаха. Как это было 📷

Судьбоносный момент финала, влияющий также на судьбу сборной России на #ЧМ2018… https://t.co/bBXjNmpr8c",ru
ЧМ2018,2018-05-27 06:43:48,#уткин опять забухал? и этот человек зочет комментировать на федеральных каналах? @radioytkin #ЧМ2018 #комментатор https://t.co/cyLQ7wPaIS,ru
ЧМ2018,2018-05-27 06:42:35,"RT @Fake_MIDRF: Россия встречает гостей Чемпионата мира по футболу: 

#FIFAWorldCup2018 #FIFA2018 #ЧМ2018 #MH17 https://t.co/e45uzYH54v",ru
ЧМ2018,2018-05-27 06:40:03,"А Салах мимо #ЧМ2018?
Кто то в ленте уже расшифровал египетский?
ЗЫ. Пересмотрел эпизод с Рамосом и Салахом.
По-мое… https://t.co/6lZd8P38mx",ru
ЧМ2018,2018-05-27 06:31:58,RT @buharsobesednik: Продам три билета на ЧМ2018 в нижнем новгороде. Недорого. https://t.co/Dlqaa7yD9H,ru
ЧМ2018,2018-05-27 06:27:53,"RT @LeonidSluzki: Жаль, там не будет матчей ЧМ2018. А то бы туристам показывали... Хотя фекалий у нас по всей стране полно-в виде фонтанов,…",ru
ЧМ2018,2018-05-27 06:22:15,"RT @LeonidSluzki: Жаль, там не будет матчей ЧМ2018. А то бы туристам показывали... Хотя фекалий у нас по всей стране полно-в виде фонтанов,…",ru
ЧМ2018,2018-05-27 06:15:43,"Жаль, там не будет матчей ЧМ2018. А то бы туристам показывали... Хотя фекалий у нас по всей стране полно-в виде фон… https://t.co/i0kpHqSu4b",ru
ЧМ2018,2018-05-27 06:10:10,Самоуверенности египтян нет предела https://t.co/vThKZZMPZQ #ЧМ2018 https://t.co/UESZpgyQm6,ru
ЧМ2018,2018-05-27 06:10:01,"RT @razum_milonova: Наш дом - тюрьма, а имя ей - Россия! В тюрьме проходит праздник у надзорщиков, поэтому зекам лучше не высовываться, а т…",ru
ЧМ2018,2018-05-27 06:02:02,"Госзаказ РФС к 15 июля, на 214 млн. рублей. Однако, доброе утро, дорогие подписчики. / #россиячемпион #чм2018 #сб.. https://t.co/6qy0d3qROP",ru
